[17:30:03.789] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.805] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.820] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.837] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:03.854] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.870] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.887] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.903] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.920] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.937] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.953] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.970] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:03.987] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.004] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.021] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.037] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.053] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.071] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.088] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.088] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.104] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.104] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.121] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.121] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.138] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.138] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.154] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.154] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.171] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.171] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.187] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.187] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.205] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.205] [Engine] [trace] applyForce: bodyId=0, force=(0.0, -100000.0, 0.0), activation=Activate
[17:30:04.222] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.222] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 100000.0, 0.0), activation=Activate
[17:30:04.238] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.254] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.271] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.289] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.305] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.321] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.337] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.354] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.371] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.387] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.404] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.421] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
[17:30:04.437] [Engine] [trace] applyForce: bodyId=0, force=(0.0, 0.0, -50000.0), activation=Activate
